codigos_folleto,descripcion_producto,categoria,marca,gramaje,unidad_medida,promocion,vigencia,precio_regular,precio_oferta,revision,observaciones,Pagina,upc_catalogo,date,canal,item,url_sku
979.0,VARIAS_PRESENTACIONES,Cuidado Personal,"ISDIN, Eucerin, Cetaphil, Avène, Endocare",,,hasta 20% de descuento,,,,,*SOBRE PRECIO AHORRO,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,8429420260979.0,2025-12-15,Farmacias del Ahorro,Isdinceutics Retinal Intense Serum 50 ml,https://www.fahorro.com/isdinceutics-retinal-intense-serum-50-ml.html
7000.0,VARIAS_PRESENTACIONES,Cuidado Personal,"ISDIN, Eucerin, Cetaphil, Avène, Endocare",,,hasta 20% de descuento,,,,,*SOBRE PRECIO AHORRO,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,4006000077000.0,2025-12-15,Farmacias del Ahorro,Eucerin Epigenetic Serum facial Anti-edad 30 ml,https://www.fahorro.com/eucerin-epigenetic-serum-facial-anti-edad-30-ml.html
5769.0,VARIAS_PRESENTACIONES,Cuidado Personal,"ISDIN, Eucerin, Cetaphil, Avène, Endocare",,,hasta 20% de descuento,,,,,*SOBRE PRECIO AHORRO,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,3499320015769.0,2025-12-15,Farmacias del Ahorro,CETAPHIL Healthy Renew Serum Facial 30g,https://www.fahorro.com/cetaphil-healthy-renew-serum-facial-30g.html
3583.0,VARIAS_PRESENTACIONES,Cuidado Personal,"ISDIN, Eucerin, Cetaphil, Avène, Endocare",,,hasta 20% de descuento,,,,,*SOBRE PRECIO AHORRO,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,3282770393583.0,2025-12-15,Farmacias del Ahorro,Avène Retrinal Sérum Rejuvenecedor 30 ml,https://www.fahorro.com/avene-retrinal-serum-anti-arrugas-30ml.html
1605.0,VARIAS_PRESENTACIONES,Cuidado Personal,"ISDIN, Eucerin, Cetaphil, Avène, Endocare",,,hasta 20% de descuento,,,,,*SOBRE PRECIO AHORRO,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,8436574361605.0,2025-12-15,Farmacias del Ahorro,Endocare Tensage Alta Potencia Serum 30 ml,https://www.fahorro.com/endocare-tensage-alta-potencia-serum-30-ml.html
9496.0,Varias presentaciones,Medicamentos,Histiacil NF,,,2 x $209,,,,,*EN EL MISMO TICKET. *APLICA SOLO EN SUCURSAL.,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,7501328979496.0,2025-12-15,Farmacias del Ahorro,Histiacil NF Jarabe para la Tos Infantil 150 ml. Fórmula con Alivio Rápido y Efectivo desde el Primer Día en Niños de 6 a 12 años,https://www.fahorro.com/histiacil-nf-jarabe-tos-infantil-150-ml.html
9502.0,Varias presentaciones,Medicamentos,Histiacil NF,,,2 x $209,,,,,*EN EL MISMO TICKET. *APLICA SOLO EN SUCURSAL.,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,7501328979502.0,2025-12-15,Farmacias del Ahorro,Histiacil NF Jarabe para la Tos Adultos 150 ml. Fórmula con Alivio Rápido y Efectivo desde el Primer Día,https://www.fahorro.com/histiacil-nf-jarabe-tos-adulto-150-ml.html
7527.0,"400 mg, 10 cápsulas",Medicamentos,Advil,10.0,cápsulas,2 x $140,,,,,*EN EL MISMO TICKET. *APLICA SOLO EN SUCURSAL.,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,7501108767527.0,2025-12-15,Farmacias del Ahorro,Advil Analgésico 400 mg 10 cápsulas,https://www.fahorro.com/advil-analgesico-400-mg-10-capsulas.html
9527.0,Varias presentaciones,Vitaminas y Suplementos,Redoxon,,,2 x $199,,,,,*EN EL MISMO TICKET. *APLICA SOLO EN SUCURSAL.,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,7501008409527.0,2025-12-15,Farmacias del Ahorro,Redoxon Vitamina C Tubo con 10 Tabletas Efervecentes Sabor Naranja,https://www.fahorro.com/redoxon-1-g-de-vitamina-c-sabor-naranja-10-tabletas-efervescentes.html
8439.0,Varias presentaciones,Vitaminas y Suplementos,Redoxon,,,2 x $199,,,,,*EN EL MISMO TICKET. *APLICA SOLO EN SUCURSAL.,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,7501008498439.0,2025-12-15,Farmacias del Ahorro,Redoxon Infantil Vitamina C Frasco con 100 Tabletas Masticables,https://www.fahorro.com/redoxon-infantil-100-mg-de-vitamina-c-100-tabletas-masticables.html
9689.0,Varias presentaciones,Medicamentos,Tabcin,,,2 x $125,,,,,*EN EL MISMO TICKET. *APLICA SOLO EN SUCURSAL.,./competitors/Ahorro/folletos\farmacias-del-ahorro-folleto-nacional-diciembre-2025_1.jpg,7501008499689.0,2025-12-15,Farmacias del Ahorro,Tabcin Active Rápido Alivio de la Gripe y Tos Caja con 12 Caps,https://www.fahorro.com/tabcin-active-12-caps-para-los-mas-molestos-sintomas-de-la-gripe.html
