codigos_folleto,descripcion_producto,categoria,marca,gramaje,unidad_medida,promocion,vigencia,precio_regular,precio_oferta,revision,observaciones,Pagina,upc_catalogo,date,canal,item,url_sku
1007179,Pristiq 50 mg c/28 tabs.,Medicamentos,Pfizer,50,mg c/28 tabs.,"a solo $1,535",1 al 31 de diciembre de 2025,,1535.0,,Este medicamento requiere prescripción médica.,./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7501108767893.0,2025-12-15,Farmacias Benavides,Pristiq 50 mg Desvenlafaxina 28 Tabletas,https://www.benavides.com.mx/pristiq-50-mg-desvenlafaxina-28-tabletas
517461,Tafil 0.50 mg c/30 tabs.,Medicamentos,Pfizer,0.50,mg c/30 tabs.,a solo $479,1 al 31 de diciembre de 2025,,479.0,,Este medicamento requiere prescripción médica.,./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,300090055097.0,2025-12-15,Farmacias Benavides,Tafil 0.5 mg Alprazolam 30 ud Tabletas,https://www.benavides.com.mx/tafil-05-mg-alprazolam-30-ud-tabletas
1023159,Panazeclox 2.5 mg/mL gotas 10 ml,Medicamentos,ASA,10,ml,a solo $145,1 al 31 de diciembre de 2025,,145.0,,Este medicamento requiere prescripción médica.,./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7501125133329.0,2025-12-15,Farmacias Benavides,Panazeclox 2.5 mg Clonazepam 10 ml Gotas,https://www.benavides.com.mx/panazeclox-25-mg-clonazepam-10-ml-gotas
1011648,Comenter 30 mg c/30 tabs.,Medicamentos,Asofarma,30,mg c/30 tabs.,"a solo $1,998, ¡Llévate gratis! Al acumular 2 piezas",1 al 31 de diciembre de 2025,,1998.0,,"Al acumular 2 piezas, la siguiente es gratis en tu Tarjeta Benavides Conmigo.",./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7501871720941.0,2025-12-15,Farmacias Benavides,Comenter 30 mg Mirtazapina 30 Tabletas,https://www.benavides.com.mx/comenter-30-mg-mirtazapina-30-tabletas
1007200,Pristiq 100 mg c/28 tabs.,Medicamentos,Pfizer,100,mg c/28 tabs.,"a solo $1,795",1 al 31 de diciembre de 2025,,1795.0,,Este medicamento requiere prescripción médica.,./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7501108767923.0,2025-12-15,Farmacias Benavides,Pristiq 100 mg Desvenlafaxina 28 Tabletas,https://www.benavides.com.mx/pristiq-100-mg-desvenlafaxina-28-tabletas
517364,Tafil 0.25 mg c/30 tabs.,Medicamentos,Pfizer,0.25,mg c/30 tabs.,a solo $345,1 al 31 de diciembre de 2025,,345.0,,Este medicamento requiere prescripción médica.,./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,300090029081.0,2025-12-15,Farmacias Benavides,Tafil 0.25 mg Alprazolam 30 ud Tabletas,https://www.benavides.com.mx/tafil-025-mg-alprazolam-30-ud-tabletas
234,Altruline 50 mg c/28 tabs.,Medicamentos,Pfizer,50,mg c/28 tabs.,"a solo $1,685, ¡Llévate gratis! Al acumular 4 piezas",1 al 31 de diciembre de 2025,,1685.0,,"Al acumular 4 piezas, la siguiente es gratis en tu Tarjeta Benavides Conmigo. Este medicamento requiere prescripción médica.",./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7501287688033.0,2025-12-15,Farmacias Benavides,Altruline 50 mg Sertralina 28 Tabletas,https://www.benavides.com.mx/altruline-50-mg-sertralina-28-tabletas
1023076,Lamobrigan 10 mg c/28 tabs.,Medicamentos,ASA,10,mg c/28 tabs.,a solo $569,1 al 31 de diciembre de 2025,,569.0,,,./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7501125154621.0,2025-12-15,Farmacias Benavides,Lamobrigan 10 mg Escitalopram 28 Tabletas,https://www.benavides.com.mx/lamobrigan-10-mg-escitalopram-28-tabletas
1041523,Fluoxetina 20 mg c/28 cáps.,Medicamentos,,20,mg c/28 cáps.,"50% desc. en la 2a pieza, ¡Llévate gratis! Al acumular 3 piezas",1 al 31 de diciembre de 2025,,,,"Descuento del 50% en la segunda pieza. Al acumular 3 piezas, la siguiente es gratis.",./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7501125191169.0,2025-12-15,Farmacias Benavides,Farmacias Benavides 20 mg Fluoxetina 28 Cápsulas,https://www.benavides.com.mx/farmacias-benavides-20-mg-fluoxetina-28-capsulas
1045394,Escitalopram 10 mg c/28 tabs.,Medicamentos,,10,mg c/28 tabs.,"2x $309, ¡Llévate gratis! Al acumular 3 piezas",1 al 31 de diciembre de 2025,,,,"Al acumular 3 piezas, la siguiente es gratis.",./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7501384549503.0,2025-12-15,Farmacias Benavides,Farmacias Benavides 10 mg Escitalopram 28 Tabletas,https://www.benavides.com.mx/farmacias-benavides-10-mg-escitalopram-28-tabletas
1046471,Rybelsus 7 y 14 mg c/30 tabs.,Medicamentos,,"7, 14",mg c/30 tabs.,25% desc.,1 al 31 de diciembre de 2025,,,,25% de descuento. Descuento a través del programa NUEVO YO.,./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7503007822918.0,2025-12-15,Farmacias Benavides,Rybelsus 14 mg Semaglutida 30 Tabletas,https://www.benavides.com.mx/rybelsus-14-mg-semaglutida-30-tabletas
1045899,Rybelsus 7 y 14 mg c/30 tabs.,Medicamentos,,"7, 14",mg c/30 tabs.,25% desc.,1 al 31 de diciembre de 2025,,,,25% de descuento. Descuento a través del programa NUEVO YO.,./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7503007822901.0,2025-12-15,Farmacias Benavides,Rybelsus 7 mg Semaglutida 30 Tabletas,https://www.benavides.com.mx/rybelsus-7-mg-semaglutida-30-tabletas
1050311,Wegovy 0.25 mg y 0.5 mg c/1 pluma precargada c/1.5 ml y 1 mg c/1 pluma precargada c/3 ml,Medicamentos,,,pluma precargada,25% desc.,1 al 31 de diciembre de 2025,,,,25% de descuento.,./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7503007822956.0,2025-12-15,Farmacias Benavides,Wegovy 0.5 mg Semaglutida Solución Inyectable 1 Pluma Precargada,https://www.benavides.com.mx/wegovy-0-5-mg-semaglutida-solucion-inyectable-1-pluma-precargada
1050298,Wegovy 0.25 mg y 0.5 mg c/1 pluma precargada c/1.5 ml y 1 mg c/1 pluma precargada c/3 ml,Medicamentos,,,pluma precargada,25% desc.,1 al 31 de diciembre de 2025,,,,25% de descuento.,./competitors/Benavides/folletos\folleto-de-diciembre_page_10_16-12-2025.jpg,7503007822949.0,2025-12-15,Farmacias Benavides,Wegovy 0.25 mg Semaglutida Solución Inyectable 1 Pluma Precargada,https://www.benavides.com.mx/wegovy-0-25-mg-semaglutida-solucion-inyectable-1-pluma-precargada
